epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,7824.25,2.29047,1.88461,1.3851,0.22647,0.13547,0.08103,0.02672,2.90703,2.54618,1.70535,0.0006536,0.0006536,0.0006536
104,7919.06,2.30285,1.87127,1.38537,0.17594,0.11812,0.06972,0.02283,2.93362,2.51369,1.6943,0.0006404,0.0006404,0.0006404
105,8023.03,2.28806,1.88004,1.38594,0.19108,0.11997,0.06991,0.02295,2.91814,2.49578,1.6745,0.0006272,0.0006272,0.0006272
106,8116.52,2.28044,1.87886,1.38004,0.17726,0.12772,0.07139,0.02371,2.92971,2.53842,1.69619,0.000614,0.000614,0.000614
107,8216.4,2.2742,1.85232,1.37681,0.20372,0.12477,0.07652,0.02475,2.91332,2.50143,1.69982,0.0006008,0.0006008,0.0006008
108,8309.09,2.28194,1.87293,1.38606,0.19456,0.13068,0.07437,0.02426,2.90706,2.54621,1.70042,0.0005876,0.0005876,0.0005876
109,8397.97,2.27839,1.8549,1.37175,0.18305,0.1196,0.07034,0.02281,2.92131,2.51604,1.70621,0.0005744,0.0005744,0.0005744
110,8502.34,2.25689,1.86148,1.37819,0.17979,0.12661,0.06401,0.02145,2.91191,2.56576,1.69939,0.0005612,0.0005612,0.0005612
111,8601.24,2.25486,1.8414,1.3691,0.18116,0.11812,0.06643,0.02153,2.9278,2.5036,1.69948,0.000548,0.000548,0.000548
112,8698.52,2.29033,1.86712,1.37501,0.20298,0.12772,0.07611,0.02488,2.89492,2.47635,1.69031,0.0005348,0.0005348,0.0005348
113,8780.57,2.26357,1.8465,1.36891,0.19719,0.1292,0.08153,0.02696,2.91401,2.49866,1.69673,0.0005216,0.0005216,0.0005216
114,8893.43,2.23075,1.82537,1.35515,0.19416,0.12182,0.06867,0.02281,2.93317,2.54658,1.71286,0.0005084,0.0005084,0.0005084
115,8992.03,2.24894,1.82157,1.36337,0.15749,0.11776,0.06178,0.02101,2.95409,2.58303,1.70303,0.0004952,0.0004952,0.0004952
116,9096.86,2.22008,1.8097,1.35608,0.18677,0.12588,0.06814,0.02284,2.94946,2.59144,1.7204,0.000482,0.000482,0.000482
117,9192.8,2.23187,1.80869,1.35923,0.18441,0.12514,0.07077,0.02452,2.92584,2.5622,1.71735,0.0004688,0.0004688,0.0004688
118,9279.78,2.23484,1.82524,1.36926,0.18999,0.13247,0.06939,0.02309,2.93926,2.54941,1.73407,0.0004556,0.0004556,0.0004556
119,9369.13,2.23861,1.80521,1.36204,0.19001,0.12514,0.07077,0.02248,2.9264,2.54247,1.71375,0.0004424,0.0004424,0.0004424
120,9460.65,2.23005,1.80261,1.35347,0.16235,0.12255,0.06014,0.02012,2.96948,2.5943,1.72351,0.0004292,0.0004292,0.0004292
121,9549.77,2.24647,1.81189,1.35591,0.17227,0.12698,0.07058,0.02265,2.9146,2.54716,1.70981,0.000416,0.000416,0.000416
122,9640.06,2.23307,1.79128,1.35486,0.19634,0.12923,0.07209,0.02445,2.93587,2.52518,1.70204,0.0004028,0.0004028,0.0004028
123,9721.07,2.23124,1.80326,1.35661,0.2039,0.12255,0.07306,0.02338,2.9425,2.54679,1.69429,0.0003896,0.0003896,0.0003896
124,9803.35,2.18912,1.76395,1.34363,0.17515,0.12255,0.06686,0.02361,2.94594,2.56625,1.70847,0.0003764,0.0003764,0.0003764
125,9886.01,2.17395,1.7535,1.33461,0.18044,0.12329,0.06472,0.02155,2.985,2.56498,1.7266,0.0003632,0.0003632,0.0003632
126,9974.73,2.21163,1.77641,1.34372,0.18629,0.12846,0.07294,0.02424,2.9473,2.56715,1.71361,0.00035,0.00035,0.00035
127,10077.9,2.19039,1.78486,1.34138,0.17211,0.11591,0.06558,0.02303,2.95789,2.57525,1.72152,0.0003368,0.0003368,0.0003368
128,10168.4,2.21277,1.7835,1.34734,0.15734,0.12477,0.06715,0.02282,2.97956,2.57312,1.73421,0.0003236,0.0003236,0.0003236
129,10261.1,2.19447,1.77409,1.33631,0.16716,0.12255,0.06765,0.02255,2.94707,2.57765,1.71704,0.0003104,0.0003104,0.0003104
130,10346.9,2.20445,1.77231,1.34832,0.16879,0.12661,0.07126,0.02329,2.94327,2.54638,1.72251,0.0002972,0.0002972,0.0002972
131,10444.4,2.17713,1.76755,1.3373,0.17089,0.12255,0.06559,0.02318,2.95156,2.55047,1.73073,0.000284,0.000284,0.000284
132,10538.4,2.18268,1.74242,1.33135,0.16248,0.12477,0.06358,0.02156,2.96451,2.57041,1.73096,0.0002708,0.0002708,0.0002708
133,10629.8,2.192,1.76232,1.33789,0.17074,0.11537,0.06314,0.02164,2.95997,2.57928,1.72984,0.0002576,0.0002576,0.0002576
134,10728.6,2.17928,1.76081,1.34028,0.16459,0.11406,0.06249,0.02216,2.95929,2.5764,1.72022,0.0002444,0.0002444,0.0002444
135,10814.1,2.1714,1.74829,1.33738,0.16791,0.11923,0.06401,0.02221,2.97368,2.56665,1.73899,0.0002312,0.0002312,0.0002312
136,10902.7,2.16764,1.7556,1.3236,0.15791,0.1196,0.06205,0.02125,2.97842,2.58298,1.75134,0.000218,0.000218,0.000218
137,10987.5,2.17295,1.74617,1.33335,0.16362,0.11628,0.06334,0.02124,2.98723,2.55457,1.76009,0.0002048,0.0002048,0.0002048
138,11080.6,2.20353,1.75661,1.34025,0.15553,0.11812,0.06231,0.02148,3.00426,2.58056,1.76046,0.0001916,0.0001916,0.0001916
139,11174.6,2.1656,1.7378,1.32343,0.16468,0.12034,0.06569,0.02257,2.97623,2.55365,1.74581,0.0001784,0.0001784,0.0001784
140,11254.9,2.16485,1.73668,1.332,0.17403,0.12735,0.06672,0.02273,2.99499,2.54983,1.74893,0.0001652,0.0001652,0.0001652
141,11443.1,2.13483,1.78574,1.35349,0.1571,0.09967,0.05422,0.01903,3.00611,2.65808,1.77735,0.000152,0.000152,0.000152
142,11634,2.12216,1.75642,1.3454,0.15995,0.10004,0.05008,0.01748,2.99028,2.62668,1.77537,0.0001388,0.0001388,0.0001388
143,11778.2,2.08862,1.70373,1.3299,0.17833,0.12145,0.06489,0.02263,2.98763,2.57704,1.77272,0.0001256,0.0001256,0.0001256
144,11894.1,2.0975,1.71146,1.32958,0.17251,0.12034,0.0643,0.02207,2.99384,2.58331,1.77425,0.0001124,0.0001124,0.0001124
145,12013.8,2.08233,1.69101,1.32774,0.17353,0.11776,0.06321,0.02178,2.99072,2.58127,1.77626,9.92e-05,9.92e-05,9.92e-05
146,12102.6,2.08597,1.7027,1.32774,0.16872,0.11812,0.06522,0.02233,2.9834,2.56911,1.75578,8.6e-05,8.6e-05,8.6e-05
147,12217.7,2.07326,1.68197,1.3196,0.16478,0.11628,0.0621,0.0216,2.9834,2.58114,1.75488,7.28e-05,7.28e-05,7.28e-05
148,12329.5,2.07214,1.69481,1.32825,0.16867,0.12182,0.06288,0.02167,2.99085,2.58031,1.76261,5.96e-05,5.96e-05,5.96e-05
149,12495.1,2.07471,1.68045,1.31692,0.17143,0.11739,0.06308,0.02166,2.98649,2.58044,1.76341,4.64e-05,4.64e-05,4.64e-05
150,12652.2,2.06899,1.68547,1.32037,0.17449,0.11728,0.06246,0.02165,2.99351,2.57977,1.76717,3.32e-05,3.32e-05,3.32e-05
